game_date,game_pk,home_team,away_team,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,bb_type,inning,inning_topbot,pitch_number,at_bat_number,events
2017-08-16,491901,BOS,STL,99.9,27.964,378.0,74.38,46.55,fly_ball,6,Bot,5,50,double
2017-06-17,491129,NYM,WSH,104.3,45.905,335.0,54.65,75.57,fly_ball,9,Top,2,77,field_out
2017-05-06,490558,PHI,WSH,76.4,45.22,230.0,64.96,128.09,fly_ball,5,Bot,6,38,field_out
2017-08-13,491852,MIL,CIN,71.4,-8.008,14.0,107.82,161.42,ground_ball,6,Bot,1,54,field_out
2017-06-06,490967,KC,HOU,86.5,-7.129,10.0,139.78,143.11,ground_ball,6,Top,3,50,field_out
2017-07-30,491660,MIL,CHC,96.7,28.441,344.0,219.42,86.29,line_drive,6,Bot,2,47,home_run
2017-08-08,491788,OAK,SEA,81.8,36.396,259.0,185.45,109.28,fly_ball,10,Bot,4,88,field_out
2017-04-21,490350,NYM,WSH,95.4,8.643,140.0,139.95,144.34,ground_ball,5,Top,1,35,field_out
2017-07-08,491411,LAD,KC,97.4,20.817,325.0,54.88,80.61,line_drive,7,Bot,3,59,field_out
2017-04-04,490118,ARI,SF,89.3,16.914,280.0,127.19,67.06,line_drive,6,Bot,3,61,field_out
2017-04-07,490148,PIT,ATL,77.2,-12.658,10.0,149.87,159.67,ground_ball,6,Bot,5,56,field_out
2017-06-13,491060,DET,ARI,101.4,40.743,348.0,209.65,88.18,fly_ball,7,Bot,2,64,field_out
2017-07-21,491532,LAD,ATL,52.3,17.1,99.0,99.31,160.95,ground_ball,2,Bot,4,16,field_out
2017-06-21,491183,PHI,STL,99.0,1.523,60.0,135.35,145.71,ground_ball,1,Bot,5,7,field_error
2017-09-10,492236,SEA,LAA,102.8,29.493,385.0,105.11,36.93,fly_ball,6,Bot,1,44,field_out
2017-08-19,491935,COL,MIL,96.1,15.241,291.0,202.79,93.54,line_drive,7,Bot,5,59,single
2017-04-21,490336,PHI,ATL,76.3,52.474,209.0,126.63,112.45,popup,9,Top,3,65,field_out
2017-09-28,492475,STL,CHC,53.5,7.948,65.0,139.18,154.98,ground_ball,5,Bot,3,39,field_out
2017-08-01,491694,CWS,TOR,91.3,44.611,303.0,63.84,86.64,fly_ball,2,Top,4,11,field_out
2017-08-28,492061,BAL,SEA,112.9,7.315,199.0,60.91,100.03,line_drive,8,Bot,7,73,single
2017-05-21,490754,NYM,LAA,92.4,43.44,300.0,62.47,88.62,fly_ball,4,Bot,2,36,field_out
2017-09-01,492115,CWS,TB,102.6,2.496,97.0,88.27,110.09,ground_ball,3,Top,4,18,single
2017-07-23,491573,CHC,STL,110.0,41.526,400.0,224.04,59.53,fly_ball,4,Bot,1,30,home_run
2017-09-04,492157,NYM,PHI,74.2,57.172,168.0,115.52,129.94,popup,3,Top,7,19,field_out
